time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449950000	16.0218	19.7317	5.83985	2.3609	-0.837676	radar	1.39069e-309	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.9093	19.8794	5.29517	2.29545	-0.962436	lidar	1.29445e-321	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.7514	20.0649	5.29517	2.24733	-0.962436	radar	1.39069e-309	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4644	20.1918	5.76242	2.4365	0.0288739	lidar	1.29445e-321	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2634	20.3626	5.76242	2.43795	0.0288739	radar	1.39069e-309	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.177	20.4562	4.81536	2.40992	-0.0724241	lidar	1.29445e-321	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	15.0126	20.6048	4.81536	2.4063	-0.0724241	radar	1.39069e-309	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.7022	20.6326	5.14383	2.72065	1.23596	lidar	1.29445e-321	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.486	20.7215	5.14383	2.78245	1.23596	radar	1.39069e-309	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.093	20.623	5.9064	3.23917	2.821	lidar	1.29445e-321	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8283	20.5779	5.9064	3.38022	2.821	radar	1.39069e-309	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.4922	20.6916	6.51474	3.18805	1.42408	lidar	1.29445e-321	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.1931	20.6663	6.51474	3.25925	1.42408	radar	1.39069e-309	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.0705	20.7999	5.18013	3.0928	0.414244	lidar	1.29445e-321	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8288	20.8084	5.18013	3.11351	0.414244	radar	1.39069e-309	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.8222	21.0128	3.49644	2.80309	-1.03763	lidar	1.29445e-321	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.6719	21.0698	3.49644	2.75121	-1.03763	radar	1.39069e-309	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2715	21.1213	5.39192	2.8758	-0.271176	lidar	1.29445e-321	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	12.0409	21.1844	5.39192	2.86224	-0.271176	radar	1.39069e-309	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.701	20.92	5.55113	3.46897	2.16157	lidar	1.29445e-321	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4658	20.825	5.55113	3.57705	2.16157	radar	1.39069e-309	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.339	21.0084	4.25962	3.24551	0.462066	lidar	1.29445e-321	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.1443	20.9862	4.25962	3.26862	0.462066	radar	1.39069e-309	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.9039	20.9343	4.74198	3.32468	0.60856	lidar	1.29445e-321	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.6938	20.8915	4.74198	3.3551	0.60856	radar	1.39069e-309	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2453	21.1447	6.09467	2.74935	-1.94569	lidar	1.29445e-321	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	9.99565	21.2629	6.09467	2.65206	-1.94569	radar	1.39069e-309	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.94505	21.0479	3.85079	2.99979	-0.257778	lidar	1.29445e-321	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.76899	21.0738	3.85079	2.9869	-0.257778	radar	1.39069e-309	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.55198	20.9285	3.93255	3.31258	1.10342	lidar	1.29445e-321	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.37847	20.8942	3.93255	3.36775	1.10342	radar	1.39069e-309	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.80212	20.8268	7.11269	3.36127	0.754483	lidar	1.29445e-321	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.49502	20.7532	7.11269	3.399	0.754483	radar	1.39069e-309	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.22644	20.5047	7.36532	3.68948	1.74932	lidar	1.29445e-321	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	7.94007	20.3129	7.36532	3.77695	1.74932	radar	1.39069e-309	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.83983	20.3921	5.1303	3.65072	0.874882	lidar	1.29445e-321	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.63201	20.2705	5.1303	3.69447	0.874882	radar	1.39069e-309	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.22955	20.3444	5.67873	3.29727	-1.07613	lidar	1.29445e-321	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	6.97133	20.3108	5.67873	3.24346	-1.07613	radar	1.39069e-309	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.79992	20.2024	5.29399	3.35737	-0.379074	lidar	1.29445e-321	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.56153	20.1529	5.29399	3.33842	-0.379074	radar	1.39069e-309	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.38029	20.0301	5.10894	3.46644	0.22767	lidar	1.29445e-321	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.15759	19.9547	5.10894	3.47783	0.22767	radar	1.39069e-309	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.8782	19.8409	5.73176	3.52243	0.358581	lidar	1.29445e-321	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
